Sum of Adj Close,Sum of Close,Sum of Column1,Year,Quarter,Month,Day,Sum of High,Sum of Low,Sum of Open,Sum of Volume
1134.136475,1300.375,108,2015,Qtr 2,June,10,1305,1281.900024,1283,2763350
1121.293945,1285.650024,109,2015,Qtr 2,June,11,1306.5,1278.375,1302.75,1847336
1092.730469,1252.900024,110,2015,Qtr 2,June,12,1294.474976,1238.400024,1285.949951,2571456
1092.294922,1252.400024,111,2015,Qtr 2,June,15,1260.224976,1240.5,1252.650024,2525176
1095.434448,1256,112,2015,Qtr 2,June,16,1259.650024,1247.224976,1250,1267396
1096.219482,1256.900024,113,2015,Qtr 2,June,17,1264.574951,1250.900024,1260.5,1975720
1103.305908,1265.025024,114,2015,Qtr 2,June,18,1273.150024,1254,1257.5,2165046
1111.809692,1274.775024,115,2015,Qtr 2,June,19,1277.5,1263.550049,1267.5,1999610
1130.103027,1295.75,116,2015,Qtr 2,June,22,1300,1273.5,1273.5,1102002
1122.732788,1287.300049,117,2015,Qtr 2,June,23,1304,1283.599976,1300,898318
1120.858276,1285.150024,118,2015,Qtr 2,June,24,1293.949951,1279.425049,1290,1170246
1112.005737,1275,119,2015,Qtr 2,June,25,1286.5,1272.074951,1281,1930992
1130.670166,1296.400024,120,2015,Qtr 2,June,26,1298.175049,1275.099976,1275.099976,1290102
1130.713501,1296.449951,121,2015,Qtr 2,June,29,1302,1271.699951,1286,1372756
1112.420044,1275.474976,122,2015,Qtr 2,June,30,1294.375,1270,1292.5,1549952
1130.800537,1296.550049,123,2015,Qtr 3,July,1,1304,1278.375,1281.949951,1279708
1124.106812,1288.875,124,2015,Qtr 3,July,2,1301.474976,1285.525024,1300,1445880
1135.510498,1301.949951,125,2015,Qtr 3,July,3,1305,1285,1286.525024,963470
1148.331177,1316.650024,126,2015,Qtr 3,July,6,1322.5,1290.150024,1290.150024,1182338
1140.895874,1308.125,127,2015,Qtr 3,July,7,1323.449951,1301.5,1316.375,1642836
1131.672607,1297.550049,128,2015,Qtr 3,July,8,1310.849976,1290.25,1298.974976,2667850
1100.013306,1261.25,129,2015,Qtr 3,July,9,1299.125,1253.324951,1297.5,3934122
1079.015991,1237.175049,130,2015,Qtr 3,July,10,1279.5,1227.5,1279.5,8263654
1094.366089,1254.775024,131,2015,Qtr 3,July,13,1259.300049,1237.699951,1237.699951,2280308
1089.983643,1249.75,132,2015,Qtr 3,July,14,1257.5,1245,1255.5,1703274
1110.152222,1272.875,133,2015,Qtr 3,July,15,1274.974976,1250,1250.5,2003660
1107.731934,1270.099976,134,2015,Qtr 3,July,16,1279.425049,1263.300049,1271.849976,1456608
1118.285034,1282.199951,135,2015,Qtr 3,July,17,1285.050049,1271.650024,1273.400024,1070526
1127.134277,1289.574951,136,2015,Qtr 3,July,20,1291.949951,1275.949951,1282,853786
1119.377563,1280.699951,137,2015,Qtr 3,July,21,1300.175049,1277.550049,1288,1274500
1104.803101,1264.025024,138,2015,Qtr 3,July,22,1284.5,1260.525024,1280.5,1320628
1087.562744,1244.300049,139,2015,Qtr 3,July,23,1268.925049,1241.5,1258.75,1496780
1094.79541,1252.574951,140,2015,Qtr 3,July,24,1258.25,1246.050049,1248.75,1574972
1091.255615,1248.525024,141,2015,Qtr 3,July,27,1252.5,1240.574951,1244,2003738
1093.440918,1251.025024,142,2015,Qtr 3,July,28,1259.5,1246.074951,1249.75,1891188
1095.494141,1253.375,143,2015,Qtr 3,July,29,1257.525024,1241.75,1255.5,2413318
1084.088623,1240.324951,144,2015,Qtr 3,July,30,1258.400024,1236.400024,1258.025024,2770574
1097.242554,1255.375,145,2015,Qtr 3,July,31,1259.5,1243.5,1244.949951,1963776
1096.740234,1254.800049,146,2015,Qtr 3,August,3,1262.5,1250.449951,1251.699951,1179324
1096.43396,1254.449951,147,2015,Qtr 3,August,4,1261.5,1243,1255.199951,2342692
1113.150024,1273.574951,148,2015,Qtr 3,August,5,1275,1255.5,1260,988994
1124.578247,1286.650024,149,2015,Qtr 3,August,6,1291.5,1275.050049,1282.5,2211366
1115.291382,1276.025024,150,2015,Qtr 3,August,7,1286.5,1273.5,1286.5,1188506
